timestamp_ns,timestamp_s,timestamp_readable,expected_x,expected_y,expected_z,swerve_x,swerve_y,swerve_z,turtlebot3_x,turtlebot3_y,turtlebot3_z
1748859293941161212,1748859293.941161,2025-06-02 17:14:53.941,-0.6,0.0,0.0,-0.5628327738642704,0.011217868017100174,0.35414137954000124,0.03657189391591255,-0.017357259295590625,0.0
1748859295100765322,1748859295.100765,2025-06-02 17:14:55.100,-0.6,0.0,0.0,-0.5675115527497512,0.02616838154490568,0.3481860197320989,0.08403004224302636,-0.019564072609485082,0.0
1748859295696717986,1748859295.696718,2025-06-02 17:14:55.696,-0.6,0.0,0.0,-0.5649196598670473,0.020533211941522418,0.351496435374711,0.13052015405175385,-0.01914243275305864,0.0
1748859296298502032,1748859296.298502,2025-06-02 17:14:56.298,-0.6,0.0,0.0,-0.5599290584906615,0.023112275822751355,0.35972050260614563,0.1779190370216899,-0.02087093389615647,0.0
1748859296893772147,1748859296.893772,2025-06-02 17:14:56.893,1.0,0.0,0.0,-0.5704417399280868,0.026032171407506265,0.35919578186378076,0.22859148642235616,-0.024574022510136437,0.0
1748859297498023606,1748859297.498024,2025-06-02 17:14:57.498,1.0,0.0,0.0,-0.5652741563447079,0.028635915702651227,0.3589443569758155,0.27658831132387096,-0.021719539903593293,0.0
1748859298202867992,1748859298.202868,2025-06-02 17:14:58.202,1.0,0.0,0.0,-0.565824136134802,0.015103768301009957,0.35741975782934376,0.32268815953972874,-0.024756619191391178,0.0
1748859298761074434,1748859298.761075,2025-06-02 17:14:58.761,1.0,0.0,0.0,-0.5746624415289789,0.014600915387712056,0.37290588878202796,0.3710307765015277,-0.030796454031443005,0.0
1748859299367567877,1748859299.367568,2025-06-02 17:14:59.367,1.0,0.0,0.0,-0.5719705837448441,0.019418774757498307,0.36658487470182244,0.41978762378329076,-0.0305070413986821,0.0
1748859302709646864,1748859302.709647,2025-06-02 17:15:02.709,1.0,0.0,0.0,-0.8013052262894222,0.04397890861699878,0.3795901823732127,0.6659344273739634,-0.0335710482060564,0.0
1748859302759630118,1748859302.759630,2025-06-02 17:15:02.759,1.0,0.0,0.0,-0.58489132170836,0.0387728556110777,0.37693185931797746,0.7241965068277467,-0.035584810837189534,0.0
1748859303150192337,1748859303.150192,2025-06-02 17:15:03.150,1.0,0.0,0.0,-0.5746415647816969,0.020469244758705617,0.38990841518503233,0.7666812198693642,-0.03217096773405324,0.0
1748859303755505926,1748859303.755506,2025-06-02 17:15:03.755,1.0,0.0,0.0,-0.5872002270969111,0.029799470374911888,0.3963840757067706,0.8264866037044503,-0.02989479537619997,0.0
1748859304153855634,1748859304.153856,2025-06-02 17:15:04.153,1.0,0.0,0.0,-0.5812978151849274,0.025015834884620003,0.3999053981218256,0.8723377090284489,-0.026758016291130844,0.0
1748859304750234473,1748859304.750234,2025-06-02 17:15:04.750,1.0,0.0,0.0,-0.5797510802379215,0.041237586674188656,0.3916696045975665,0.9346162938164453,-0.02752311962174294,0.0
1748859306357828373,1748859306.357828,2025-06-02 17:15:06.357,1.0,0.0,0.0,-0.6004611941721779,0.01582806609638905,0.41470797861625447,0.9765584584919937,-0.029441424114328263,0.0
1748859307558418022,1748859307.558418,2025-06-02 17:15:07.558,1.0,0.0,0.0,-0.5868646631415539,0.01661712187543629,0.4136167633156014,1.0239332565072519,-0.027110671348534957,0.0
1748859308361557405,1748859308.361557,2025-06-02 17:15:08.361,1.0,0.0,0.0,-0.6066906688820576,0.1875461033220061,0.3606443524476437,1.0305880083166226,-0.024684746619581113,0.0
1748859308577976175,1748859308.577976,2025-06-02 17:15:08.577,1.0,0.0,0.0,-0.6162165298721904,0.3359886284916028,0.23129104647385768,1.0341956468014404,-0.02234001839250948,0.0
1748859308786015704,1748859308.786016,2025-06-02 17:15:08.786,1.0,0.0,0.0,-0.49873834137667394,0.5834758290178819,0.0621194258465977,1.0374167529242913,-0.01943891714595858,0.0
1748859309160257375,1748859309.160257,2025-06-02 17:15:09.160,1.0,0.0,0.0,-0.21671552588151144,0.9171890835167555,-0.3408220138166098,1.0426236514800347,-0.018994312910367614,0.0
1748859309354499087,1748859309.354499,2025-06-02 17:15:09.354,1.0,0.0,0.0,0.07646879255145866,0.9561892834662381,-0.5826555561728386,1.0482946564065154,-0.022231293981253352,0.0
1748859425172964206,1748859425.172964,2025-06-02 17:17:05.172,1.0,0.0,0.0,0.11553860959725315,0.5837570058030208,-0.7767782212201777,1.051834273050985,-0.022915821114088297,0.0
1748859432363763820,1748859432.363764,2025-06-02 17:17:12.363,1.0,0.0,0.0,-1.4032396990491054,-0.7695453020585953,1.21022637883207,1.057654098048758,-0.02969483680332001,0.0
1748859458061126041,1748859458.061126,2025-06-02 17:17:38.061,1.0,0.0,0.0,0.668045124601603,0.4638498991128597,-1.2438788725333794,1.053888077089199,-0.0728386674557581,0.0
1748859458248978224,1748859458.248978,2025-06-02 17:17:38.248,1.0,0.0,0.0,0.5271676542481281,0.505184217797112,-1.145208840665906,1.0431843285796365,-0.1262220969144,0.0
1748859458471989288,1748859458.471989,2025-06-02 17:17:38.471,1.0,0.0,0.0,0.3871227022852703,0.5126520811895443,-0.9560353430015411,1.0350975397640867,-0.18430989036467083,0.0
1748859458655807903,1748859458.655808,2025-06-02 17:17:38.655,1.0,0.0,0.0,0.24176430500388957,0.5867301641954259,-0.8416897374148102,1.032155569920975,-0.223025699921852,0.0
