timestamp_ns,timestamp_s,timestamp_readable,expected_x,expected_y,expected_z,swerve_x,swerve_y,swerve_z,turtlebot3_x,turtlebot3_y,turtlebot3_z
1746826736476529207,1746826736.476529,2025-05-09 21:38:56.476,-0.6,0.0,0.0,-0.5407612857131041,0.023511771985597472,0.14735769541158553,-0.042491129673283994,-0.004945853916357756,0.0
1746826771220154016,1746826771.220154,2025-05-09 21:39:31.220,1.0,0.0,0.0,-0.32726202779384084,0.019988396382129164,0.14390063426431365,0.13735088207426938,0.03575077763448323,0.0
1746826783830538897,1746826783.830539,2025-05-09 21:39:43.830,1.0,-3.0,0.0,-0.15431003335578064,0.05300330643976094,0.15818952381806184,0.36001054065509835,0.0967435882380905,0.0
1746826796689021387,1746826796.689021,2025-05-09 21:39:56.689,4.5,-3.0,0.0,0.07847060039015935,0.11510864142075256,0.16463369977854353,0.5506849411264364,0.1364828622205785,0.0
1746826809376594227,1746826809.376594,2025-05-09 21:40:09.376,,,,0.3003335581870899,0.14898551223344028,0.1809761088708404,0.7746686454074577,0.17224883285030373,0.0
1746826822014296462,1746826822.014297,2025-05-09 21:40:22.014,,,,0.5119451958141106,0.1887271130425263,0.19341033848475622,1.0226885907435854,0.20138654671818604,0.0
